nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2500,8.872982742511126e-8
2500.01,8.443764277880997e-8
2500.02,8.23148408896288e-8
2500.03,8.283032025808429e-8
2500.04,8.654707958452557e-8
2500.05,9.974118273561035e-8
2500.06,9.688599048316606e-8
2500.07,8.962995192482936e-8
2500.08,8.460650038765569e-8
2500.09,8.652061630622064e-8
2500.1,9.067379314358188e-8
2500.11,9.685731486295206e-8
2500.12,1.0522118186324519e-7
2500.13,1.1911865670541013e-7
2500.14,1.5382351165745767e-7
2500.15,2.0438965543805896e-7
2500.16,1.951074512438638e-7
2500.17,1.8769496963989663e-7
2500.18,2.140769542075197e-7
2500.19,2.559758748401923e-7
2500.2,3.155020506290477e-7
2500.21,4.0407427463248446e-7
2500.22,5.418239894679018e-7
2500.23,7.709862029945131e-7
2500.24,0.0000011959860264218874
2500.25,0.000002111939148489459
2500.26,0.000004647156959568773
2500.27,0.000013673227964014145
2500.28,0.00002306802562603673
2500.29,0.000009708076838119828
2500.3,0.0000039761685595650965
2500.31,0.0000031783966292485778
2500.32,0.0000028218084829159872
2500.33,0.0000013182989355549925
2500.34,7.25708283780989e-7
2500.35,4.846450842653974e-7
2500.36,3.570053739295177e-7
2500.37,2.8057020634816425e-7
2500.38,2.3859813629131485e-7
2500.39,2.447127933286186e-7
2500.4,2.4111061067852e-7
2500.41,1.6745109302277844e-7
2500.42,1.2623649467611254e-7
2500.43,1.0723050267548176e-7
2500.44,9.434137250112351e-8
2500.45,8.449461110257295e-8
2500.46,7.684500331555667e-8
2500.47,7.156877746748354e-8
2500.48,6.616905498172479e-8
2500.49,6.043723604355518e-8
2500.5,5.647279492513026e-8
2500.51,5.3713485547558346e-8
2500.52,5.0443631323080385e-8
2500.53,4.79535417326168e-8
2500.54,4.606073806310273e-8
2500.55,4.4649832051480974e-8
2500.56,4.3845982251382116e-8
2500.57,4.4312532847897785e-8
2500.58,5.132776113746617e-8
2500.59,7.415715572351674e-8
2500.6,5.049221635042451e-8
2500.61,4.551851277358638e-8
2500.62,4.8124461574669383e-8
2500.63,5.954651993365194e-8
2500.64,1.0531750404584533e-7
