trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,3,1,dJ_+1,2,0,1,J 0->1,exomol,"exomol, hitran",no,exomol,1,4001,6.269852391039e-01,1.567505474006e-01,#30123b,1,yes,yes
2,27,-1,dJ_-1,8,1,0,J 1->0,exomol,"exomol, hitran",no,exomol,1,4001,3.201260625689e-03,8.011096971439e-04,#321543,1,yes,yes
3,56,0,dJ_+0,19,1,1,J 1->1,exomol,"exomol, hitran",no,exomol,1,4001,4.818201723904e-05,1.519353526182e-05,#341b51,1,yes,no
4,2,1,dJ_+1,1,1,2,J 1->2,exomol,"exomol, hitran",no,exomol,2,4001,6.554908272086e-01,1.638767800823e-01,#36215f,1,yes,yes
5,8,-1,dJ_-1,3,2,1,J 2->1,exomol,"exomol, hitran",no,exomol,2,4001,1.220525854900e-01,3.051695011013e-02,#38276d,2,yes,yes
6,55,0,dJ_+0,18,2,2,J 2->2,exomol,"exomol, hitran",no,exomol,3,4001,5.070494682993e-05,2.754445068146e-05,#3a2d79,2,yes,no
7,50,1,dJ_+1,19,2,3,J 2->3,exomol,"exomol, hitran",no,exomol,5,4001,1.211960484727e-04,4.466658731684e-05,#3c3286,2,yes,yes
8,46,-1,dJ_-1,15,3,2,J 3->2,exomol,"exomol, hitran",no,exomol,5,4001,3.936396010284e-04,1.762976001178e-04,#3e3891,3,yes,no
9,9,0,dJ_+0,4,3,3,J 3->3,exomol,"exomol, hitran",no,exomol,6,4001,1.152406828237e-01,2.908456846692e-02,#3f3e9c,3,yes,yes
10,13,1,dJ_+1,5,3,4,J 3->4,exomol,"exomol, hitran",no,exomol,8,4001,3.847110019633e-02,9.643323352483e-03,#4143a7,3,yes,yes
11,18,-1,dJ_-1,5,4,3,J 4->3,exomol,"exomol, hitran",no,exomol,8,4001,2.296146771918e-02,5.772418808202e-03,#4249b1,4,yes,yes
12,40,0,dJ_+0,13,4,4,J 4->4,exomol,"exomol, hitran",no,exomol,10,4001,7.306059612482e-04,2.764712418368e-04,#434eba,4,yes,no
13,14,1,dJ_+1,6,4,5,J 4->5,exomol,"exomol, hitran",no,exomol,13,4001,3.424865739366e-02,8.596168274292e-03,#4454c3,4,yes,yes
14,26,-1,dJ_-1,7,5,4,J 5->4,exomol,"exomol, hitran",no,exomol,13,4001,3.892183689173e-03,1.273221655895e-03,#4559cb,3,yes,yes
15,25,0,dJ_+0,8,5,5,J 5->5,exomol,"exomol, hitran",no,exomol,15,4001,5.046143117170e-03,1.847440711715e-03,#455ed3,3,yes,yes
16,36,1,dJ_+1,13,5,6,J 5->6,exomol,"exomol, hitran",no,exomol,18,4001,1.193867383592e-03,4.015787240113e-04,#4664da,3,yes,no
