trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,20,1,dJ_+1,8,0,1,J 0->1,exomol_only,exomol,exomol,2948.790000,5.534524320001e-14,0.000000000000e+00,9,0,9,3,0,100001,5.534524320001e-14,1.800252016426e-15,#30123b,3,yes,yes
2,31,-1,dJ_-1,9,1,0,J 1->0,exomol_only,exomol,exomol,2934.010000,1.450704497647e-14,0.000000000000e+00,9,0,9,3,0,100001,1.450704497647e-14,9.924985539443e-16,#341b51,3,yes,no
3,11,0,dJ_+0,6,1,1,J 1->1,exomol_only,exomol,exomol,2943.450000,8.208015866910e-14,0.000000000000e+00,24,0,24,4,0,100001,8.208015866910e-14,3.868083695321e-15,#372466,4,yes,yes
4,22,1,dJ_+1,9,1,2,J 1->2,exomol_only,exomol,exomol,2958.750000,4.138971469966e-14,0.000000000000e+00,44,0,44,4,0,100001,4.138971469966e-14,5.607840501454e-15,#3a2d79,4,yes,no
5,17,-1,dJ_-1,3,2,1,J 2->1,exomol_only,exomol,exomol,2982.710000,6.102957809937e-14,0.000000000000e+00,42,0,42,5,0,100001,6.102957809937e-14,6.336836314925e-15,#3d358b,5,yes,yes
6,12,0,dJ_+0,7,2,2,J 2->2,exomol_only,exomol,exomol,3000.820000,7.889479235384e-14,0.000000000000e+00,72,0,72,5,0,100001,7.889479235384e-14,9.700122820198e-15,#3f3e9c,5,yes,yes
7,7,1,dJ_+1,4,2,3,J 2->3,exomol_only,exomol,exomol,3031.110000,1.126732079441e-13,0.000000000000e+00,121,0,121,5,0,100001,1.126732079441e-13,1.382746131431e-14,#4146ac,5,yes,yes
8,15,-1,dJ_-1,2,3,2,J 3->2,exomol_only,exomol,exomol,2913.480000,6.905375895303e-14,0.000000000000e+00,102,0,102,5,0,100001,6.905375895303e-14,1.074887928605e-14,#4451bf,5,yes,yes
9,9,0,dJ_+0,5,3,3,J 3->3,exomol_only,exomol,exomol,2941.760000,1.017517910388e-13,0.000000000000e+00,167,0,167,5,0,100001,1.017517910388e-13,1.475403124044e-14,#4559cb,5,yes,yes
10,13,1,dJ_+1,6,3,4,J 3->4,exomol_only,exomol,exomol,2976.300000,7.438091790036e-14,0.000000000000e+00,200,0,200,5,0,100001,7.438091790036e-14,1.478214032445e-14,#4661d6,5,yes,yes
11,14,-1,dJ_-1,1,4,3,J 4->3,exomol_only,exomol,exomol,2897.210000,7.246258630488e-14,0.000000000000e+00,217,0,217,5,0,100001,7.246258630488e-14,1.668552593759e-14,#4669e0,5,yes,yes
12,1,0,dJ_+0,1,4,4,J 4->4,exomol_only,exomol,exomol,2940.770000,1.763911424848e-13,0.000000000000e+00,252,0,252,5,0,100001,1.763911424848e-13,1.792282113856e-14,#4771e9,5,yes,yes
13,10,1,dJ_+1,5,4,5,J 4->5,exomol_only,exomol,exomol,2993.770000,9.552264511286e-14,0.000000000000e+00,417,0,417,5,0,100001,9.552264511286e-14,2.600190635045e-14,#4778f0,5,yes,yes
14,19,-1,dJ_-1,5,5,4,J 5->4,exomol_only,exomol,exomol,2890.460000,5.709871221342e-14,0.000000000000e+00,313,0,313,5,0,100001,5.709871221342e-14,1.603884090887e-14,#4682f8,5,yes,yes
15,3,0,dJ_+0,2,5,5,J 5->5,exomol_only,exomol,exomol,2939.700000,1.497377495064e-13,0.000000000000e+00,513,0,513,5,0,100001,1.497377495064e-13,2.218436407093e-14,#458afc,5,yes,yes
