trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,34,1,dJ_+1,17,0,1,J 0->1,exomol,exomol,no,exomol,3,401,1.426882211392e-16,4.197228132737e-17,#30123b,3,yes,no
2,46,-1,dJ_-1,7,1,0,J 1->0,exomol,exomol,no,exomol,2,401,2.165357260498e-18,6.969968386467e-19,#351e58,1,yes,yes
3,15,0,dJ_+0,5,1,1,J 1->1,exomol,exomol,no,exomol,6,401,9.711482992950e-15,3.725063015357e-15,#392a73,3,yes,yes
4,14,1,dJ_+1,10,1,2,J 1->2,exomol,exomol,no,exomol,13,401,1.128592719224e-14,2.885156556070e-15,#3d358b,4,yes,no
5,29,-1,dJ_-1,2,2,1,J 2->1,exomol,exomol,no,exomol,8,401,4.469622188931e-16,1.985247455042e-16,#4040a2,4,yes,yes
6,25,0,dJ_+0,10,2,2,J 2->2,exomol,exomol,no,exomol,18,401,7.482323372221e-16,2.204995794751e-16,#424bb5,4,yes,no
7,9,1,dJ_+1,5,2,3,J 2->3,exomol,exomol,no,exomol,26,401,1.745730575563e-14,6.399665214352e-15,#4456c7,5,yes,yes
8,38,-1,dJ_-1,3,3,2,J 3->2,exomol,exomol,no,exomol,18,401,4.085490335952e-17,1.806229632749e-17,#4661d6,4,yes,yes
9,3,0,dJ_+0,2,3,3,J 3->3,exomol,exomol,no,exomol,34,401,3.664838311800e-14,1.868751877114e-14,#476ee6,5,yes,yes
10,6,1,dJ_+1,3,3,4,J 3->4,exomol,exomol,no,exomol,47,401,2.646429806779e-14,1.335376352293e-14,#4778f0,5,yes,yes
11,28,-1,dJ_-1,1,4,3,J 4->3,exomol,exomol,no,exomol,17,401,5.682777481012e-16,2.239061325680e-16,#4682f8,4,yes,yes
12,37,0,dJ_+0,17,4,4,J 4->4,exomol,exomol,no,exomol,56,401,8.488699458994e-17,7.133161797548e-17,#458cfd,5,yes,no
13,16,1,dJ_+1,11,4,5,J 4->5,exomol,exomol,no,exomol,74,401,6.964021370077e-15,1.979500674258e-15,#4196ff,5,yes,no
14,41,-1,dJ_-1,5,5,4,J 5->4,exomol,exomol,no,exomol,13,401,2.235682708189e-17,7.098089628184e-18,#3ba0fd,3,yes,yes
15,2,0,dJ_+0,1,5,5,J 5->5,exomol,exomol,no,exomol,82,401,3.948830190829e-14,1.328952065979e-14,#35abf8,5,yes,yes
16,11,1,dJ_+1,7,5,6,J 5->6,exomol,exomol,no,exomol,130,401,1.259193668894e-14,7.671048761118e-15,#2eb4f2,5,yes,yes
17,40,-1,dJ_-1,4,6,5,J 6->5,exomol,exomol,no,exomol,18,401,2.566168954588e-17,9.679493486094e-18,#25c0e7,5,yes,yes
18,5,0,dJ_+0,3,6,6,J 6->6,exomol,exomol,no,exomol,118,401,2.820849230082e-14,1.375991716426e-14,#1fc9dd,5,yes,yes
19,1,1,dJ_+1,1,6,7,J 6->7,exomol,exomol,no,exomol,182,401,9.312366575598e-14,5.500261290189e-14,#1ad2d2,5,yes,yes
20,45,-1,dJ_-1,6,7,6,J 7->6,exomol,exomol,no,exomol,5,401,7.216677754291e-18,1.865658782309e-18,#18d9c8,1,yes,yes
21,8,0,dJ_+0,4,7,7,J 7->7,exomol,exomol,no,exomol,166,401,2.032012345689e-14,1.412408346084e-14,#18e0bd,5,yes,yes
22,12,1,dJ_+1,8,7,8,J 7->8,exomol,exomol,no,exomol,338,401,1.256913223791e-14,8.000071938815e-15,#1ce6b4,5,yes,yes
23,17,0,dJ_+0,6,8,8,J 8->8,exomol,exomol,no,exomol,301,401,5.042936609945e-15,3.778679666334e-15,#22ebaa,5,yes,yes
24,10,1,dJ_+1,6,8,9,J 8->9,exomol,exomol,no,exomol,600,401,1.604738031874e-14,1.609198550407e-14,#2cf09e,5,yes,yes
25,63,-1,dJ_-1,8,9,8,J 9->8,exomol,exomol,no,exomol,2,401,5.389151320161e-24,2.368495676521e-24,#3cf58e,1,yes,yes
26,22,0,dJ_+0,9,9,9,J 9->9,exomol,exomol,no,exomol,449,401,1.339649387374e-15,1.834153487104e-15,#4af880,5,yes,no
27,4,1,dJ_+1,2,9,10,J 9->10,exomol,exomol,no,exomol,971,401,3.601868079508e-14,2.792120377595e-14,#59fb73,5,yes,yes
28,20,0,dJ_+0,7,10,10,J 10->10,exomol,exomol,no,exomol,463,401,2.087296540237e-15,1.543072671704e-15,#69fd66,5,yes,yes
29,13,1,dJ_+1,9,10,11,J 10->11,exomol,exomol,no,exomol,1862,401,1.130561843974e-14,1.888187438006e-14,#79fe59,5,yes,no
30,21,0,dJ_+0,8,11,11,J 11->11,exomol,exomol,no,exomol,554,401,2.059114846553e-15,1.071712461977e-15,#88ff4e,5,yes,yes
31,7,1,dJ_+1,4,11,12,J 11->12,exomol,exomol,no,exomol,2229,401,2.322928270570e-14,1.226895821279e-14,#96fe44,5,yes,yes
32,26,0,dJ_+0,11,12,12,J 12->12,exomol,exomol,no,exomol,662,401,7.480278467311e-16,5.979039004233e-16,#a4fc3c,5,yes,no
33,18,1,dJ_+1,12,12,13,J 12->13,exomol,exomol,no,exomol,3565,401,4.231369910189e-15,5.339129440908e-15,#affa37,5,yes,no
34,27,0,dJ_+0,12,13,13,J 13->13,exomol,exomol,no,exomol,819,401,6.830732448996e-16,5.299881002396e-16,#b9f635,5,yes,no
35,19,1,dJ_+1,13,13,14,J 13->14,exomol,exomol,no,exomol,4026,401,3.603518668582e-15,3.919307544964e-15,#c3f134,5,yes,no
36,33,0,dJ_+0,15,14,14,J 14->14,exomol,exomol,no,exomol,1127,401,1.564646191898e-16,1.842092701098e-16,#cdec34,5,yes,no
37,24,1,dJ_+1,15,14,15,J 14->15,exomol,exomol,no,exomol,7321,401,8.234501707361e-16,3.034830226564e-15,#d7e535,5,yes,no
38,31,0,dJ_+0,13,15,15,J 15->15,exomol,exomol,no,exomol,1640,401,2.082098389372e-16,2.093599651860e-16,#dfdf37,5,yes,no
39,23,1,dJ_+1,14,15,16,J 15->16,exomol,exomol,no,exomol,7258,401,1.258195670959e-15,1.943006256772e-15,#e7d739,5,yes,no
40,32,0,dJ_+0,14,16,16,J 16->16,exomol,exomol,no,exomol,1980,401,1.968279966225e-16,1.942074990084e-16,#efcd3a,5,yes,no
41,30,1,dJ_+1,16,16,17,J 16->17,exomol,exomol,no,exomol,9375,401,2.112240440998e-16,6.030901431196e-16,#f5c53a,5,yes,no
42,35,0,dJ_+0,16,17,17,J 17->17,exomol,exomol,no,exomol,2356,401,1.179147201382e-16,8.807414433892e-17,#f9bc39,5,yes,no
43,36,1,dJ_+1,18,17,18,J 17->18,exomol,exomol,no,exomol,10891,401,1.060429268046e-16,2.526950305708e-16,#fcb336,5,yes,no
44,44,0,dJ_+0,19,18,18,J 18->18,exomol,exomol,no,exomol,3171,401,8.053405266092e-18,1.961414140530e-17,#fea933,5,yes,no
45,39,1,dJ_+1,19,18,19,J 18->19,exomol,exomol,no,exomol,12115,401,3.346966759418e-17,1.109785850891e-16,#fe9e2f,5,yes,no
46,42,0,dJ_+0,18,19,19,J 19->19,exomol,exomol,no,exomol,4187,401,9.929652017487e-18,1.574522314533e-17,#fe932a,5,yes,no
47,43,1,dJ_+1,20,19,20,J 19->20,exomol,exomol,no,exomol,13618,401,8.774240322287e-18,3.568707146528e-17,#fc8725,5,yes,no
48,47,0,dJ_+0,20,20,20,J 20->20,exomol,exomol,no,exomol,4773,401,2.011404788032e-18,3.172703546039e-18,#f9781e,5,yes,no
49,48,1,dJ_+1,21,20,21,J 20->21,exomol,exomol,no,exomol,14961,401,1.768283056365e-18,1.016147675166e-17,#f66c19,5,yes,no
50,49,0,dJ_+0,21,21,21,J 21->21,exomol,exomol,no,exomol,6735,401,6.545397615108e-19,2.160715769646e-18,#f26014,5,yes,no
51,50,1,dJ_+1,22,21,22,J 21->22,exomol,exomol,no,exomol,14958,401,5.324686276182e-19,3.725593520524e-18,#ed5510,5,yes,no
52,51,0,dJ_+0,22,22,22,J 22->22,exomol,exomol,no,exomol,8391,401,3.484027767985e-19,7.742934127385e-19,#e84b0c,5,yes,no
53,52,1,dJ_+1,23,22,23,J 22->23,exomol,exomol,no,exomol,16890,401,3.425673166935e-19,1.374600766721e-18,#e2430a,5,yes,no
54,54,0,dJ_+0,23,23,23,J 23->23,exomol,exomol,no,exomol,8720,401,1.045963635750e-19,2.011402519054e-19,#dc3b07,5,yes,no
55,53,1,dJ_+1,24,23,24,J 23->24,exomol,exomol,no,exomol,17459,401,1.271781933799e-19,4.651566179907e-19,#d43305,5,yes,no
56,56,0,dJ_+0,24,24,24,J 24->24,exomol,exomol,no,exomol,11040,401,1.302565255249e-20,6.238284801444e-20,#ca2a04,5,yes,no
57,55,1,dJ_+1,25,24,25,J 24->25,exomol,exomol,no,exomol,18954,401,1.686935185829e-20,1.189983188913e-19,#c12302,5,yes,no
58,59,0,dJ_+0,26,25,25,J 25->25,exomol,exomol,no,exomol,14239,401,4.322398370574e-21,2.306588459210e-20,#b71d02,5,yes,no
59,57,1,dJ_+1,26,25,26,J 25->26,exomol,exomol,no,exomol,18720,401,7.533939733539e-21,3.764084129617e-20,#ac1701,5,yes,no
60,58,0,dJ_+0,25,26,26,J 26->26,exomol,exomol,no,exomol,16534,401,5.470684959726e-21,8.673895645028e-21,#a11201,5,yes,no
61,60,1,dJ_+1,27,26,27,J 26->27,exomol,exomol,no,exomol,18074,401,1.723287286392e-21,8.294926703453e-21,#950d01,5,yes,no
62,61,0,dJ_+0,27,27,27,J 27->27,exomol,exomol,no,exomol,19298,401,7.052166243834e-22,2.386472895058e-21,#880802,5,yes,no
63,62,1,dJ_+1,28,27,28,J 27->28,exomol,exomol,no,exomol,18478,401,3.072053120221e-22,2.026336772301e-21,#7a0403,5,yes,no
