trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,3,1,dJ_+1,2,0,1,J 0->1,exomol,"exomol, hitran",no,exomol,1,401,6.269852391039e-01,1.567505474006e-01,#30123b,1,yes,yes
2,13,-1,dJ_-1,1,1,0,J 1->0,exomol,"exomol, hitran",no,exomol,1,401,3.201260625689e-03,8.011096971439e-04,#351e58,1,yes,yes
3,28,0,dJ_+0,19,1,1,J 1->1,exomol,"exomol, hitran",no,exomol,1,401,4.818201723904e-05,1.519353526182e-05,#3a2d79,1,yes,no
4,2,1,dJ_+1,1,1,2,J 1->2,exomol,"exomol, hitran",no,exomol,2,401,6.554908272086e-01,1.638767800823e-01,#3f3b97,1,yes,yes
5,27,0,dJ_+0,18,2,2,J 2->2,exomol,"exomol, hitran",no,exomol,3,401,5.070494682993e-05,2.754445068146e-05,#4249b1,2,yes,no
6,23,1,dJ_+1,8,2,3,J 2->3,exomol,"exomol, hitran",no,exomol,5,401,1.211960484727e-04,4.466658731684e-05,#4456c7,2,yes,yes
7,6,0,dJ_+0,4,3,3,J 3->3,exomol,"exomol, hitran",no,exomol,6,401,1.152406828237e-01,2.908456846692e-02,#4664da,3,yes,yes
8,7,1,dJ_+1,3,3,4,J 3->4,exomol,"exomol, hitran",no,exomol,8,401,3.847110019633e-02,9.643323352483e-03,#4771e9,3,yes,yes
9,20,0,dJ_+0,13,4,4,J 4->4,exomol,"exomol, hitran",no,exomol,10,401,7.306059612482e-04,2.764712418368e-04,#467df4,4,yes,no
10,8,1,dJ_+1,4,4,5,J 4->5,exomol,"exomol, hitran",no,exomol,13,401,3.424865739366e-02,8.596168274292e-03,#458afc,4,yes,yes
11,12,0,dJ_+0,8,5,5,J 5->5,exomol,"exomol, hitran",no,exomol,15,401,5.046143117170e-03,1.847440711715e-03,#4196ff,3,yes,yes
12,18,1,dJ_+1,5,5,6,J 5->6,exomol,"exomol, hitran",no,exomol,18,401,1.193867383592e-03,4.015787240113e-04,#3aa3fc,3,yes,yes
13,10,0,dJ_+0,6,6,6,J 6->6,exomol,"exomol, hitran",no,exomol,21,401,2.066633330248e-02,6.685577495802e-03,#31aff5,5,yes,yes
14,19,1,dJ_+1,6,6,7,J 6->7,exomol,"exomol, hitran",no,exomol,25,401,1.192594175500e-03,4.806709540485e-04,#28bceb,5,yes,yes
15,1,0,dJ_+0,1,7,7,J 7->7,exomol,"exomol, hitran",no,exomol,28,401,7.287846783752e-01,1.825726868959e-01,#22c5e2,4,yes,yes
16,21,1,dJ_+1,7,7,8,J 7->8,exomol,"exomol, hitran",no,exomol,18,401,2.600270312219e-04,1.357791723544e-04,#1bd0d5,4,yes,yes
17,4,0,dJ_+0,2,8,8,J 8->8,exomol,"exomol, hitran",no,exomol,36,401,2.009676406265e-01,5.371475580325e-02,#18d9c8,4,yes,yes
18,5,0,dJ_+0,3,9,9,J 9->9,exomol,"exomol, hitran",no,exomol,45,401,1.736796251806e-01,4.517373813087e-02,#19e2bb,5,yes,yes
19,14,0,dJ_+0,9,10,10,J 10->10,exomol,"exomol, hitran",no,exomol,55,401,2.956632102569e-03,9.118549076518e-04,#1fe9af,5,yes,no
20,15,0,dJ_+0,10,11,11,J 11->11,exomol,"exomol, hitran",no,exomol,66,401,1.804233474204e-03,5.707046213457e-04,#2aefa1,4,yes,no
21,16,0,dJ_+0,11,12,12,J 12->12,exomol,"exomol, hitran",no,exomol,78,401,1.544735977621e-03,4.399712976519e-04,#38f491,5,yes,no
22,9,0,dJ_+0,5,13,13,J 13->13,exomol,"exomol, hitran",no,exomol,91,401,2.586609544034e-02,6.584467666177e-03,#4af880,5,yes,yes
23,11,0,dJ_+0,7,14,14,J 14->14,exomol,"exomol, hitran",no,exomol,105,401,1.881414304561e-02,5.305834307080e-03,#5dfc6f,5,yes,yes
24,22,0,dJ_+0,14,15,15,J 15->15,exomol,"exomol, hitran",no,exomol,120,401,2.017382407492e-04,1.374288509231e-04,#71fe5f,5,yes,no
25,26,0,dJ_+0,17,16,16,J 16->16,exomol,"exomol, hitran",no,exomol,123,401,7.017658146662e-05,3.555348366537e-05,#84ff51,5,yes,no
26,17,0,dJ_+0,12,17,17,J 17->17,exomol,"exomol, hitran",no,exomol,108,401,1.406266221070e-03,4.987321390491e-04,#96fe44,5,yes,no
27,24,0,dJ_+0,15,18,18,J 18->18,exomol,"exomol, hitran",no,exomol,112,401,1.145702006353e-04,3.432839198993e-05,#a4fc3c,5,yes,no
28,31,0,dJ_+0,22,19,19,J 19->19,exomol,"exomol, hitran",no,exomol,120,401,1.967304356927e-06,1.329704321336e-06,#affa37,5,yes,no
29,32,0,dJ_+0,23,20,20,J 20->20,exomol,"exomol, hitran",no,exomol,129,401,1.758008658075e-06,5.675354629545e-07,#bcf534,5,yes,no
30,25,0,dJ_+0,16,21,21,J 21->21,exomol,"exomol, hitran",no,exomol,139,401,8.831861291829e-05,4.056095589199e-05,#c8ef34,5,yes,no
31,29,0,dJ_+0,20,22,22,J 22->22,exomol,"exomol, hitran",no,exomol,147,401,9.416219588773e-06,2.461812397962e-06,#d4e735,5,yes,no
32,30,0,dJ_+0,21,23,23,J 23->23,exomol,"exomol, hitran",no,exomol,157,401,5.621534567234e-06,1.801575421258e-06,#dfdf37,5,yes,no
33,34,0,dJ_+0,25,24,24,J 24->24,exomol,exomol,no,exomol,151,401,6.279793635654e-09,4.410296260582e-09,#e9d539,5,yes,no
34,35,0,dJ_+0,26,25,25,J 25->25,exomol,exomol,no,exomol,175,401,1.776617165118e-09,2.145167118773e-09,#f1cb3a,5,yes,no
35,33,0,dJ_+0,24,26,26,J 26->26,exomol,exomol,no,exomol,175,401,1.286048276018e-08,3.622850507893e-09,#f7c13a,5,yes,no
36,37,0,dJ_+0,28,27,27,J 27->27,exomol,exomol,no,exomol,187,401,1.008491075352e-10,1.015243067237e-10,#fbb637,5,yes,no
37,36,0,dJ_+0,27,28,28,J 28->28,exomol,exomol,no,exomol,192,401,1.250582662065e-09,3.469111562113e-10,#fea933,5,yes,no
38,38,0,dJ_+0,29,29,29,J 29->29,exomol,exomol,no,exomol,185,401,2.451870911289e-11,1.424832205949e-11,#fe9b2d,5,yes,no
39,39,0,dJ_+0,30,30,30,J 30->30,exomol,exomol,no,exomol,194,401,9.294336966724e-12,5.082583923464e-12,#fd8d27,5,yes,no
40,40,0,dJ_+0,31,31,31,J 31->31,exomol,exomol,no,exomol,191,401,3.663748922148e-12,1.369415936357e-12,#fb7e21,5,yes,no
41,41,0,dJ_+0,32,32,32,J 32->32,exomol,exomol,no,exomol,205,401,3.310875608531e-12,1.642273073500e-12,#f8721c,5,yes,no
42,42,0,dJ_+0,33,33,33,J 33->33,exomol,exomol,no,exomol,183,401,3.654120492879e-13,1.487901629253e-13,#f36315,5,yes,no
43,44,0,dJ_+0,35,34,34,J 34->34,exomol,exomol,no,exomol,201,401,4.400026135791e-15,1.823490828125e-15,#ed5510,5,yes,no
44,45,0,dJ_+0,36,35,35,J 35->35,exomol,exomol,no,exomol,177,401,1.675821932938e-15,7.463152315766e-16,#e7490c,5,yes,no
