trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,36,1,dJ_+1,17,0,1,J 0->1,exomol,exomol,yes,exomol,1,401,1.218710778980e-11,3.566221780569e-12,#30123b,1,yes,no
2,39,-1,dJ_-1,2,1,0,J 1->0,exomol,exomol,yes,exomol,1,401,5.399159542526e-12,1.993255955308e-12,#351e58,1,yes,yes
3,38,0,dJ_+0,20,1,1,J 1->1,exomol,exomol,yes,exomol,2,401,7.591837307582e-12,4.927308763112e-12,#392a73,2,yes,no
4,12,1,dJ_+1,7,1,2,J 1->2,exomol,exomol,yes,exomol,10,401,3.053460839423e-08,7.699386750082e-09,#3e3891,4,yes,yes
5,10,-1,dJ_-1,1,2,1,J 2->1,exomol,exomol,yes,exomol,4,401,3.671622497765e-08,9.185567274877e-09,#4143a7,2,yes,yes
6,33,0,dJ_+0,16,2,2,J 2->2,exomol,exomol,yes,exomol,6,401,3.630972433146e-11,2.755715132236e-11,#4451bf,4,yes,no
7,13,1,dJ_+1,8,2,3,J 2->3,exomol,exomol,yes,exomol,22,401,2.354561821722e-08,1.093141937546e-08,#455ccf,4,yes,yes
8,25,0,dJ_+0,13,3,3,J 3->3,exomol,exomol,yes,exomol,12,401,5.034913002744e-10,1.967207339201e-10,#4669e0,3,yes,no
9,7,1,dJ_+1,4,3,4,J 3->4,exomol,exomol,yes,exomol,40,401,7.615055063360e-08,2.094765332300e-08,#4773eb,5,yes,yes
10,1,0,dJ_+0,1,4,4,J 4->4,exomol,exomol,yes,exomol,20,401,3.234084683257e-07,9.973163971892e-08,#4680f6,5,yes,yes
11,11,1,dJ_+1,6,4,5,J 4->5,exomol,exomol,yes,exomol,75,401,3.456556338811e-08,1.755492469282e-08,#458afc,5,yes,yes
12,5,0,dJ_+0,2,5,5,J 5->5,exomol,exomol,yes,exomol,30,401,1.794052417555e-07,8.304955891622e-08,#4196ff,5,yes,yes
13,3,1,dJ_+1,2,5,6,J 5->6,exomol,exomol,yes,exomol,108,401,2.495610786866e-07,9.387929352416e-08,#3ba0fd,5,yes,yes
14,8,0,dJ_+0,4,6,6,J 6->6,exomol,exomol,yes,exomol,42,401,7.166385818014e-08,2.054121107043e-08,#33adf7,5,yes,yes
