trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,3,1,dJ_+1,2,0,1,J 0->1,hitran,hitran,no,hitran,1,401,6.245119454401e-01,1.561279863600e-01,#30123b,1,yes,yes
2,13,-1,dJ_-1,1,1,0,J 1->0,hitran,hitran,no,hitran,1,401,2.061107554011e-03,5.152768885026e-04,#392a73,1,yes,yes
3,23,0,dJ_+0,14,1,1,J 1->1,hitran,hitran,no,hitran,1,401,6.087601590581e-07,1.793894264327e-07,#4040a2,1,yes,no
4,2,1,dJ_+1,1,1,2,J 1->2,hitran,hitran,no,hitran,2,401,6.554034161783e-01,1.638508540446e-01,#4456c7,1,yes,yes
5,22,0,dJ_+0,13,2,2,J 2->2,hitran,hitran,no,hitran,3,401,6.564690028058e-07,3.249728705937e-07,#476ee6,1,yes,no
6,20,1,dJ_+1,8,2,3,J 2->3,hitran,hitran,no,hitran,5,401,1.571895708901e-06,5.163763307238e-07,#4682f8,1,yes,yes
7,6,0,dJ_+0,4,3,3,J 3->3,hitran,hitran,no,hitran,6,401,1.032914177704e-01,2.582614135615e-02,#4196ff,1,yes,yes
8,7,1,dJ_+1,3,3,4,J 3->4,hitran,hitran,no,hitran,8,401,2.714691251456e-02,6.786861218733e-03,#35abf8,1,yes,yes
9,18,0,dJ_+0,11,4,4,J 4->4,hitran,hitran,no,hitran,10,401,8.868334186689e-06,3.217798452696e-06,#25c0e7,1,yes,no
10,9,1,dJ_+1,4,4,5,J 4->5,hitran,hitran,no,hitran,13,401,2.227618008029e-02,5.569224749094e-03,#1ad2d2,1,yes,yes
11,12,0,dJ_+0,8,5,5,J 5->5,hitran,hitran,no,hitran,15,401,2.117025933282e-03,5.592783451445e-04,#18e0bd,1,yes,yes
12,17,1,dJ_+1,6,5,6,J 5->6,hitran,hitran,no,hitran,18,401,1.437425603744e-05,4.706019998558e-06,#22ebaa,1,yes,yes
13,11,0,dJ_+0,7,6,6,J 6->6,hitran,hitran,no,hitran,21,401,1.436975764333e-02,3.597705913527e-03,#3cf58e,1,yes,yes
14,16,1,dJ_+1,5,6,7,J 6->7,hitran,hitran,no,hitran,25,401,1.455036102293e-05,5.056003924229e-06,#59fb73,1,yes,yes
15,1,0,dJ_+0,1,7,7,J 7->7,hitran,hitran,no,hitran,28,401,7.243486266197e-01,1.810999640281e-01,#79fe59,1,yes,yes
16,19,1,dJ_+1,7,7,8,J 7->8,hitran,hitran,no,hitran,18,401,3.050766259143e-06,1.477333875412e-06,#96fe44,1,yes,yes
17,4,0,dJ_+0,2,8,8,J 8->8,hitran,hitran,no,hitran,36,401,1.982411125076e-01,5.171413451156e-02,#affa37,1,yes,yes
18,5,0,dJ_+0,3,9,9,J 9->9,hitran,hitran,no,hitran,45,401,1.703624102038e-01,4.259283377154e-02,#c3f134,1,yes,yes
19,24,0,dJ_+0,15,10,10,J 10->10,hitran,hitran,no,hitran,55,401,4.568826921335e-07,4.963631402118e-07,#d7e535,1,yes,no
20,21,0,dJ_+0,12,11,11,J 11->11,hitran,hitran,no,hitran,66,401,9.146099448144e-07,5.709301409600e-07,#e7d739,1,yes,no
21,14,0,dJ_+0,9,12,12,J 12->12,hitran,hitran,no,hitran,78,401,9.592436517582e-04,2.401468638030e-04,#f5c53a,1,yes,no
22,8,0,dJ_+0,5,13,13,J 13->13,hitran,hitran,no,hitran,91,401,2.541179704427e-02,6.353365328196e-03,#fcb336,1,yes,yes
23,10,0,dJ_+0,6,14,14,J 14->14,hitran,hitran,no,hitran,105,401,1.850687620198e-02,4.925123609920e-03,#fe9e2f,1,yes,yes
24,15,0,dJ_+0,10,15,15,J 15->15,hitran,hitran,no,hitran,120,401,2.771401449259e-05,7.489522544064e-06,#fc8725,1,yes,no
25,25,0,dJ_+0,16,16,16,J 16->16,hitran,hitran,no,hitran,123,401,-0.000000000000e+00,0.000000000000e+00,#f66c19,1,yes,no
26,26,0,dJ_+0,17,17,17,J 17->17,hitran,hitran,no,hitran,108,401,-0.000000000000e+00,0.000000000000e+00,#ed5510,1,yes,no
27,27,0,dJ_+0,18,18,18,J 18->18,hitran,hitran,no,hitran,111,401,-0.000000000000e+00,0.000000000000e+00,#e2430a,1,yes,no
28,28,0,dJ_+0,19,19,19,J 19->19,hitran,hitran,no,hitran,119,401,-0.000000000000e+00,0.000000000000e+00,#d43305,1,yes,no
29,29,0,dJ_+0,20,20,20,J 20->20,hitran,hitran,no,hitran,124,401,-0.000000000000e+00,0.000000000000e+00,#c12302,1,yes,no
30,30,0,dJ_+0,21,21,21,J 21->21,hitran,hitran,no,hitran,123,401,-0.000000000000e+00,0.000000000000e+00,#ac1701,1,yes,no
31,31,0,dJ_+0,22,22,22,J 22->22,hitran,hitran,no,hitran,124,401,-0.000000000000e+00,0.000000000000e+00,#950d01,1,yes,no
32,32,0,dJ_+0,23,23,23,J 23->23,hitran,hitran,no,hitran,119,401,-0.000000000000e+00,0.000000000000e+00,#7a0403,1,yes,no
