trace_index,strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,labeled_on_figure
1,63,0,1,J 0->1,3,4001,1.218710778980e-11,6.717171018729e-12,#30123b,1,no
2,36,1,0,J 1->0,3,4001,4.872584472535e-09,1.225534738012e-09,#33184a,3,no
3,59,1,1,J 1->1,6,4001,2.739767430470e-11,1.992831636660e-11,#351e58,3,no
4,22,1,2,J 1->2,12,4001,3.053460839423e-08,7.703943434448e-09,#38276d,4,no
5,18,2,1,J 2->1,12,4001,3.671622497765e-08,2.207882388850e-08,#3a2d79,4,no
6,35,2,2,J 2->2,18,4001,4.926430908304e-09,1.312261650532e-09,#3c3286,4,no
7,25,2,3,J 2->3,27,4001,2.354561821722e-08,1.097663670628e-08,#3f3b97,4,no
8,16,3,2,J 3->2,27,4001,4.109279476288e-08,1.222409844108e-08,#4040a2,5,no
9,12,3,3,J 3->3,36,4001,6.689513053524e-08,1.894251927225e-08,#4146ac,5,no
10,9,3,4,J 3->4,48,4001,7.615055063360e-08,2.102122443613e-08,#434eba,5,no
11,44,4,3,J 4->3,48,4001,1.683993190822e-09,8.989624344645e-10,#4454c3,5,no
12,1,4,4,J 4->4,60,4001,3.234084683257e-07,1.002978654431e-07,#455ccf,5,yes
13,19,4,5,J 4->5,75,4001,3.456556338811e-08,1.755492469282e-08,#4661d6,5,no
14,6,5,4,J 5->4,75,4001,1.467284247328e-07,4.159268720415e-08,#4666dd,5,yes
15,5,5,5,J 5->5,90,4001,1.794052417555e-07,9.066182351950e-08,#476ee6,5,yes
16,3,5,6,J 5->6,108,4001,2.495610786866e-07,9.387929352416e-08,#4773eb,5,yes
17,21,6,5,J 6->5,108,4001,3.057151033795e-08,1.794394140307e-08,#4778f0,5,no
18,11,6,6,J 6->6,126,4001,7.166385818014e-08,3.805781831146e-08,#4680f6,5,no
19,2,6,7,J 6->7,152,4001,3.072118967822e-07,1.885041746735e-07,#4685fa,5,yes
20,17,7,6,J 7->6,147,4001,3.695260346161e-08,3.703491679596e-08,#458cfd,5,no
21,15,7,7,J 7->7,173,4001,4.500225704720e-08,2.120570748212e-08,#4391fe,5,no
22,4,7,8,J 7->8,209,4001,1.853631679207e-07,7.433227706644e-08,#4196ff,5,yes
23,7,8,7,J 8->7,199,4001,1.131779610343e-07,2.982263129076e-08,#3d9efe,5,yes
24,8,8,8,J 8->8,235,4001,9.056758790276e-08,3.674785240350e-08,#3aa3fc,5,yes
25,13,8,9,J 8->9,283,4001,6.676045306837e-08,5.410428621061e-08,#37a8fa,5,no
26,14,9,8,J 9->8,265,4001,5.588833832214e-08,3.130214052958e-08,#31aff5,5,no
27,10,9,9,J 9->9,313,4001,7.566064183710e-08,3.144516666783e-08,#2eb4f2,5,no
28,23,9,10,J 9->10,352,4001,2.757772052403e-08,2.150419109325e-08,#28bceb,5,no
29,24,10,9,J 10->9,347,4001,2.680356019289e-08,2.378390101315e-08,#25c0e7,5,no
30,26,10,10,J 10->10,388,4001,2.044089476752e-08,1.547562632044e-08,#22c5e2,5,no
31,27,10,11,J 10->11,452,4001,1.834015343738e-08,2.016455559621e-08,#1ecbda,5,no
32,34,11,10,J 11->10,427,4001,7.383480277850e-09,5.046063761364e-09,#1bd0d5,5,no
33,30,11,11,J 11->11,496,4001,1.106373685060e-08,8.078212744116e-09,#1ad4d0,5,no
34,20,11,12,J 11->12,566,4001,3.196370743472e-08,2.575522624230e-08,#18d9c8,5,no
35,33,12,11,J 12->11,536,4001,7.519875780189e-09,6.237369922846e-09,#18ddc2,5,no
36,28,12,12,J 12->12,616,4001,1.426220995906e-08,1.323139830452e-08,#18e0bd,5,no
37,29,12,13,J 12->13,580,4001,1.239037036159e-08,1.261377274488e-08,#1ae4b6,5,no
38,31,13,12,J 13->12,664,4001,8.558386512911e-09,3.158393778577e-09,#1de7b2,5,no
39,32,13,13,J 13->13,623,4001,8.439311479874e-09,8.910897353731e-09,#22ebaa,5,no
40,38,13,14,J 13->14,821,4001,3.019564550187e-09,5.320746549064e-09,#27eea4,5,no
41,39,14,13,J 14->13,672,4001,2.365961660306e-09,2.173120145668e-09,#2cf09e,5,no
