trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,34,1,dJ_+1,14,0,1,J 0->1,4,100001,-0.000000000000e+00,0.000000000000e+00,#30123b,4,yes,no
2,35,-1,dJ_-1,10,1,0,J 1->0,4,100001,-0.000000000000e+00,0.000000000000e+00,#36215f,4,yes,no
3,36,0,dJ_+0,12,1,1,J 1->1,10,100001,-0.000000000000e+00,0.000000000000e+00,#3b2f80,4,yes,no
4,25,1,dJ_+1,11,1,2,J 1->2,16,100001,4.488369791047e-03,7.217718157407e-05,#3f3e9c,4,yes,no
5,37,-1,dJ_-1,11,2,1,J 2->1,17,100001,-0.000000000000e+00,0.000000000000e+00,#424bb5,4,yes,no
6,30,0,dJ_+0,10,2,2,J 2->2,24,100001,3.653703107904e-03,5.234321261439e-05,#455ccf,4,yes,no
7,18,1,dJ_+1,9,2,3,J 2->3,27,100001,5.662196436481e-03,1.408030163178e-04,#4669e0,4,yes,yes
8,31,-1,dJ_-1,9,3,2,J 3->2,33,100001,3.568036481288e-03,1.044730115457e-04,#4776ee,4,yes,no
9,27,0,dJ_+0,9,3,3,J 3->3,37,100001,4.374657337381e-03,1.175638827752e-04,#4682f8,4,yes,no
10,20,1,dJ_+1,10,3,4,J 3->4,39,100001,5.415303602644e-03,4.030815186209e-04,#4391fe,4,yes,yes
11,23,-1,dJ_-1,6,4,3,J 4->3,45,100001,4.578318487947e-03,1.338159485210e-04,#3d9efe,4,yes,yes
12,11,0,dJ_+0,4,4,4,J 4->4,50,100001,6.853834526999e-03,3.459211494423e-04,#35abf8,4,yes,yes
13,10,1,dJ_+1,6,4,5,J 4->5,51,100001,7.361290632836e-03,6.863806864196e-04,#2cb7f0,3,yes,yes
14,21,-1,dJ_-1,5,5,4,J 5->4,54,100001,4.716826370895e-03,2.437853331542e-04,#23c3e4,4,yes,yes
15,4,0,dJ_+0,1,5,5,J 5->5,67,100001,1.000375641220e-02,5.762999654535e-04,#1bd0d5,3,yes,yes
16,5,1,dJ_+1,3,5,6,J 5->6,66,100001,9.887756880126e-03,9.680349229903e-04,#18d9c8,3,yes,yes
17,17,-1,dJ_-1,3,6,5,J 6->5,67,100001,5.803692574755e-03,3.834614113899e-04,#19e2bb,3,yes,yes
18,9,0,dJ_+0,3,6,6,J 6->6,84,100001,7.441509163377e-03,7.038635287989e-04,#1fe9af,3,yes,yes
19,8,1,dJ_+1,5,6,7,J 6->7,69,100001,7.736525943319e-03,1.083702691785e-03,#2cf09e,3,yes,yes
20,1,-1,dJ_-1,1,7,6,J 7->6,76,100001,1.310065823039e-02,4.942798710443e-04,#3cf58e,3,yes,yes
21,7,0,dJ_+0,2,7,7,J 7->7,95,100001,7.898214533892e-03,8.910768353661e-04,#4ef97d,3,yes,yes
22,3,1,dJ_+1,2,7,8,J 7->8,74,100001,1.019942314743e-02,1.346585185945e-03,#61fc6c,3,yes,yes
23,16,-1,dJ_-1,2,8,7,J 8->7,75,100001,5.877808420706e-03,4.863068718944e-04,#75fe5c,3,yes,yes
24,12,0,dJ_+0,5,8,8,J 8->8,100,100001,6.770296414114e-03,7.495287354591e-04,#8bff4b,3,yes,yes
25,6,1,dJ_+1,4,8,9,J 8->9,79,100001,8.371768784372e-03,9.108890252470e-04,#9cfe40,4,yes,yes
26,19,-1,dJ_-1,4,9,8,J 9->8,77,100001,5.547822688646e-03,2.069852407988e-04,#a9fb39,3,yes,yes
27,22,0,dJ_+0,7,9,9,J 9->9,119,100001,4.594472736161e-03,4.404349480027e-04,#b7f735,4,yes,yes
28,13,1,dJ_+1,7,9,10,J 9->10,89,100001,6.174287818246e-03,9.695216423427e-04,#c6f034,3,yes,yes
29,24,-1,dJ_-1,7,10,9,J 10->9,80,100001,4.495237230810e-03,2.476818501484e-04,#d2e935,4,yes,yes
30,14,0,dJ_+0,6,10,10,J 10->10,124,100001,6.039206138829e-03,2.789751542580e-04,#dde037,3,yes,yes
31,2,1,dJ_+1,1,10,11,J 10->11,100,100001,1.030059030851e-02,9.618623148412e-04,#e7d739,3,yes,yes
32,28,-1,dJ_-1,8,11,10,J 11->10,76,100001,3.891443236462e-03,5.797714183969e-05,#efcd3a,3,yes,yes
33,26,0,dJ_+0,8,11,11,J 11->11,111,100001,4.401549681024e-03,1.820997590202e-04,#f7c13a,3,yes,yes
34,15,1,dJ_+1,8,11,12,J 11->12,89,100001,5.923655476253e-03,4.161886762045e-04,#fbb637,3,yes,yes
35,38,-1,dJ_-1,12,12,11,J 12->11,71,100001,-0.000000000000e+00,0.000000000000e+00,#fea933,3,yes,no
