trace_index,strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,labeled_on_figure
1,13,0,1,J 0->1,2,100001,-0.000000000000e+00,0.000000000000e+00,#30123b,2,no
2,14,1,0,J 1->0,2,100001,-0.000000000000e+00,0.000000000000e+00,#36215f,2,no
3,15,1,1,J 1->1,4,100001,-0.000000000000e+00,0.000000000000e+00,#3b2f80,2,no
4,16,1,2,J 1->2,8,100001,-0.000000000000e+00,0.000000000000e+00,#4040a2,2,no
5,17,2,1,J 2->1,8,100001,-0.000000000000e+00,0.000000000000e+00,#434eba,2,no
6,18,2,2,J 2->2,12,100001,-0.000000000000e+00,0.000000000000e+00,#455ccf,2,no
7,19,2,3,J 2->3,18,100001,-0.000000000000e+00,0.000000000000e+00,#466be3,2,yes
8,20,3,2,J 3->2,15,100001,-0.000000000000e+00,0.000000000000e+00,#4778f0,2,no
9,21,3,3,J 3->3,23,100001,-0.000000000000e+00,0.000000000000e+00,#4685fa,2,no
10,22,3,4,J 3->4,28,100001,-0.000000000000e+00,0.000000000000e+00,#4294ff,2,yes
11,23,4,3,J 4->3,24,100001,-0.000000000000e+00,0.000000000000e+00,#3ba0fd,2,no
12,12,4,4,J 4->4,38,100001,2.769808570383e-03,4.885016072243e-05,#33adf7,2,no
13,5,4,5,J 4->5,44,100001,4.319583539989e-03,6.206955247830e-05,#28bceb,2,yes
14,24,5,4,J 5->4,32,100001,-0.000000000000e+00,0.000000000000e+00,#20c7df,2,no
15,9,5,5,J 5->5,53,100001,3.506810617672e-03,5.119516641047e-05,#1ad2d2,2,no
16,3,5,6,J 5->6,51,100001,4.776662097464e-03,1.175495230665e-04,#18ddc2,2,yes
17,25,6,5,J 6->5,46,100001,-0.000000000000e+00,0.000000000000e+00,#1ae4b6,2,no
18,11,6,6,J 6->6,71,100001,3.157349332458e-03,1.028994514320e-04,#22ebaa,2,no
19,2,6,7,J 6->7,56,100001,5.110332349722e-03,7.401813209915e-05,#32f298,2,yes
20,26,7,6,J 7->6,50,100001,-0.000000000000e+00,0.000000000000e+00,#43f787,2,no
21,7,7,7,J 7->7,80,100001,3.697273448546e-03,5.312144405426e-05,#55fa76,2,yes
22,1,7,8,J 7->8,61,100001,7.253062454340e-03,1.276164394175e-04,#6dfe62,2,yes
23,27,8,7,J 8->7,58,100001,-0.000000000000e+00,0.000000000000e+00,#80ff53,2,no
24,8,8,8,J 8->8,84,100001,3.633605906453e-03,5.401749876601e-05,#92ff47,2,yes
25,4,8,9,J 8->9,71,100001,4.621066881025e-03,1.297060128222e-04,#a4fc3c,2,yes
26,28,9,8,J 9->8,65,100001,-0.000000000000e+00,0.000000000000e+00,#b1f936,2,no
27,29,9,9,J 9->9,80,100001,-0.000000000000e+00,0.000000000000e+00,#bef434,2,no
28,6,9,10,J 9->10,72,100001,4.045024694602e-03,5.872563190892e-05,#cdec34,2,yes
29,30,10,9,J 10->9,76,100001,-0.000000000000e+00,0.000000000000e+00,#d9e436,2,no
30,31,10,10,J 10->10,82,100001,-0.000000000000e+00,0.000000000000e+00,#e3db38,2,no
31,10,10,11,J 10->11,61,100001,3.392596236456e-03,1.015231126336e-04,#eecf3a,2,no
32,32,11,10,J 11->10,68,100001,-0.000000000000e+00,0.000000000000e+00,#f5c53a,2,no
33,33,11,11,J 11->11,67,100001,-0.000000000000e+00,0.000000000000e+00,#faba39,2,no
34,34,11,12,J 11->12,56,100001,-0.000000000000e+00,0.000000000000e+00,#fdac34,2,no
35,35,12,11,J 12->11,58,100001,-0.000000000000e+00,0.000000000000e+00,#fe9e2f,2,no
36,36,12,12,J 12->12,50,100001,-0.000000000000e+00,0.000000000000e+00,#fe9029,2,no
37,37,12,13,J 12->13,46,100001,-0.000000000000e+00,0.000000000000e+00,#fb7e21,2,no
38,38,13,12,J 13->12,51,100001,-0.000000000000e+00,0.000000000000e+00,#f76f1a,2,no
39,39,13,13,J 13->13,32,100001,-0.000000000000e+00,0.000000000000e+00,#f26014,2,no
40,40,13,14,J 13->14,39,100001,-0.000000000000e+00,0.000000000000e+00,#eb500e,2,no
41,41,14,13,J 14->13,42,100001,-0.000000000000e+00,0.000000000000e+00,#e4450a,2,no
42,42,14,14,J 14->14,29,100001,-0.000000000000e+00,0.000000000000e+00,#dc3b07,2,no
43,43,14,15,J 14->15,31,100001,-0.000000000000e+00,0.000000000000e+00,#d02f05,2,no
44,44,15,14,J 15->14,22,100001,-0.000000000000e+00,0.000000000000e+00,#c52603,2,no
45,45,15,15,J 15->15,25,100001,-0.000000000000e+00,0.000000000000e+00,#b91e02,2,no
46,46,15,16,J 15->16,26,100001,-0.000000000000e+00,0.000000000000e+00,#a91601,2,no
47,47,16,15,J 16->15,14,100001,-0.000000000000e+00,0.000000000000e+00,#9b0f01,2,no
48,48,16,16,J 16->16,22,100001,-0.000000000000e+00,0.000000000000e+00,#8b0902,2,no
49,49,16,17,J 16->17,8,100001,-0.000000000000e+00,0.000000000000e+00,#7a0403,1,no
