trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,62,1,dJ_+1,22,0,1,J 0->1,1,10001,2.484177430343e-07,5.199107663836e-08,#30123b,1,yes,no
2,53,-1,dJ_-1,18,1,0,J 1->0,1,10001,1.769922483753e-03,1.769951687872e-04,#341b51,1,yes,no
3,59,0,dJ_+0,19,1,1,J 1->1,1,10001,3.882088807741e-06,3.981799960599e-07,#38276d,1,yes,no
4,11,1,dJ_+1,6,1,2,J 1->2,2,10001,6.974465934633e-02,6.974480396241e-03,#3b2f80,1,yes,yes
5,34,-1,dJ_-1,10,2,1,J 2->1,2,10001,2.246536028720e-02,2.246559324409e-03,#3f3b97,1,yes,no
6,42,0,dJ_+0,14,2,2,J 2->2,3,10001,1.377424924312e-02,1.377461008264e-03,#4146ac,1,yes,no
7,61,1,dJ_+1,21,2,3,J 2->3,5,10001,8.879971105394e-07,1.369066992180e-07,#434eba,1,yes,yes
8,10,-1,dJ_-1,3,3,2,J 3->2,5,10001,7.090787535432e-02,7.090906906136e-03,#4559cb,1,yes,yes
9,60,0,dJ_+0,20,3,3,J 3->3,6,10001,1.622126623390e-06,3.046589167887e-07,#4661d6,1,yes,no
10,37,1,dJ_+1,15,3,4,J 3->4,8,10001,1.690453038853e-02,1.690574372064e-03,#466be3,1,yes,yes
11,40,-1,dJ_-1,13,4,3,J 4->3,8,10001,1.591165454519e-02,1.603628027293e-03,#4776ee,1,yes,no
12,13,0,dJ_+0,3,4,4,J 4->4,10,10001,6.409938841010e-02,8.899614668353e-03,#467df4,1,yes,yes
13,1,1,dJ_+1,1,4,5,J 4->5,13,10001,2.154676743185e-01,2.154700301170e-02,#4687fb,1,yes,yes
14,9,-1,dJ_-1,2,5,4,J 5->4,13,10001,7.140400524522e-02,7.140662964279e-03,#448ffe,1,yes,yes
15,58,0,dJ_+0,18,5,5,J 5->5,15,10001,5.423975253876e-06,7.595252376901e-07,#4099ff,1,yes,no
16,56,1,dJ_+1,20,5,6,J 5->6,18,10001,5.446437850261e-05,5.678656811686e-06,#3aa3fc,1,yes,no
17,54,-1,dJ_-1,19,6,5,J 6->5,18,10001,1.085403394460e-03,1.598565983146e-04,#35abf8,1,yes,no
18,38,0,dJ_+0,12,6,6,J 6->6,21,10001,1.686688096772e-02,1.687274363435e-03,#2eb4f2,1,yes,no
19,8,1,dJ_+1,5,6,7,J 6->7,25,10001,7.234508802344e-02,7.661277027464e-03,#28bceb,1,yes,yes
20,21,-1,dJ_-1,7,7,6,J 7->6,25,10001,4.974420352262e-02,6.513392358835e-03,#22c5e2,1,yes,yes
21,2,0,dJ_+0,1,7,7,J 7->7,28,10001,1.629276517484e-01,1.668632240214e-02,#1ccdd8,1,yes,yes
22,12,1,dJ_+1,7,7,8,J 7->8,32,10001,6.723911859387e-02,6.757456404084e-03,#1ad4d0,1,yes,yes
23,19,-1,dJ_-1,5,8,7,J 8->7,32,10001,5.310488177295e-02,9.400935287779e-03,#18dbc5,1,yes,yes
24,15,0,dJ_+0,4,8,8,J 8->8,36,10001,6.351145170687e-02,9.902737811280e-03,#18e0bd,1,yes,yes
25,6,1,dJ_+1,3,8,9,J 8->9,41,10001,7.834210619639e-02,9.282827114080e-03,#1ce6b4,1,yes,yes
26,4,-1,dJ_-1,1,9,8,J 9->8,41,10001,1.205615267383e-01,1.228281204484e-02,#22ebaa,1,yes,yes
27,3,0,dJ_+0,2,9,9,J 9->9,45,10001,1.220612572093e-01,3.586161269599e-02,#2aefa1,1,yes,yes
28,5,1,dJ_+1,2,9,10,J 9->10,50,10001,1.005421470430e-01,1.606531644433e-02,#35f394,1,yes,yes
29,16,-1,dJ_-1,4,10,9,J 10->9,50,10001,5.999082295351e-02,1.474608708830e-02,#3ff68a,1,yes,yes
30,18,0,dJ_+0,6,10,10,J 10->10,55,10001,5.404570353972e-02,8.462758149304e-03,#4ef97d,1,yes,yes
31,14,1,dJ_+1,8,10,11,J 10->11,61,10001,6.405945405040e-02,6.426113229390e-03,#5dfc6f,1,yes,yes
32,29,-1,dJ_-1,8,11,10,J 11->10,61,10001,3.069242532552e-02,3.702497706161e-03,#69fd66,1,yes,yes
33,27,0,dJ_+0,8,11,11,J 11->11,66,10001,3.244204041821e-02,3.250705223800e-03,#79fe59,1,yes,yes
34,7,1,dJ_+1,4,11,12,J 11->12,72,10001,7.708769301954e-02,1.008108124071e-02,#84ff51,1,yes,yes
35,20,-1,dJ_-1,6,12,11,J 12->11,72,10001,5.301548981223e-02,1.428376901887e-02,#92ff47,1,yes,yes
36,24,0,dJ_+0,7,12,12,J 12->12,78,10001,3.705786842635e-02,6.321190701544e-03,#9ffd3f,1,yes,yes
37,25,1,dJ_+1,11,12,13,J 12->13,85,10001,3.629881501431e-02,7.450318199982e-03,#a7fc3a,1,yes,no
38,32,-1,dJ_-1,9,13,12,J 13->12,85,10001,2.423009535866e-02,3.567432895756e-03,#b1f936,1,yes,no
39,28,0,dJ_+0,9,13,13,J 13->13,91,10001,3.232453075512e-02,8.879546812662e-03,#bcf534,1,yes,no
40,26,1,dJ_+1,12,13,14,J 13->14,98,10001,3.465979212245e-02,7.083404785587e-03,#c3f134,1,yes,no
41,44,-1,dJ_-1,14,14,13,J 14->13,98,10001,9.986131507309e-03,1.607806322085e-03,#cdec34,1,yes,no
42,31,0,dJ_+0,10,14,14,J 14->14,105,10001,3.010921750037e-02,7.192338303237e-03,#d4e735,1,yes,no
43,22,1,dJ_+1,9,14,15,J 14->15,111,10001,4.129289610936e-02,9.165569227393e-03,#dde037,1,yes,no
44,35,-1,dJ_-1,11,15,14,J 15->14,113,10001,2.129342708734e-02,4.938689974798e-03,#e5d938,1,yes,no
45,17,0,dJ_+0,5,15,15,J 15->15,120,10001,5.985697720302e-02,1.112627321727e-02,#ebd339,1,yes,yes
46,23,1,dJ_+1,10,15,16,J 15->16,127,10001,4.016346146350e-02,7.380768352185e-03,#f1cb3a,1,yes,no
47,39,-1,dJ_-1,12,16,15,J 16->15,127,10001,1.653061613127e-02,4.085604965955e-03,#f5c53a,1,yes,no
48,36,0,dJ_+0,11,16,16,J 16->16,136,10001,2.075194190053e-02,4.312848472780e-03,#f9bc39,1,yes,no
49,30,1,dJ_+1,13,16,17,J 16->17,143,10001,3.052235805681e-02,4.952730247097e-03,#fcb336,1,yes,no
50,52,-1,dJ_-1,17,17,16,J 17->16,145,10001,1.857031119868e-03,2.016260356481e-04,#fdac34,1,yes,no
51,46,0,dJ_+0,15,17,17,J 17->17,151,10001,9.359763433454e-03,2.277772307546e-03,#fea130,1,yes,no
52,43,1,dJ_+1,16,17,18,J 17->18,161,10001,1.304234940082e-02,1.956084665528e-03,#fe992c,1,yes,no
