trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,36,1,dJ_+1,15,0,1,J 0->1,1,100001,6.781840061437e-02,1.039073580040e-03,#30123b,1,yes,no
2,55,-1,dJ_-1,18,1,0,J 1->0,1,100001,1.364856183595e-02,1.982474360527e-04,#341b51,1,yes,no
3,47,0,dJ_+0,17,1,1,J 1->1,1,100001,3.107602311794e-02,5.981468738622e-04,#38276d,1,yes,no
4,34,1,dJ_+1,13,1,2,J 1->2,2,100001,6.974465934633e-02,1.026526152695e-03,#3b2f80,1,yes,no
5,48,-1,dJ_-1,14,2,1,J 2->1,2,100001,3.065319008286e-02,9.275434529350e-04,#3f3b97,1,yes,no
6,37,0,dJ_+0,13,2,2,J 2->2,3,100001,6.734649156369e-02,1.588819425317e-03,#4146ac,1,yes,no
7,29,1,dJ_+1,12,2,3,J 2->3,5,100001,8.196447006657e-02,2.298575705060e-03,#434eba,1,yes,yes
8,33,-1,dJ_-1,9,3,2,J 3->2,5,100001,7.090787535432e-02,3.102752391360e-03,#4559cb,1,yes,no
9,14,0,dJ_+0,7,3,3,J 3->3,6,100001,1.427551105758e-01,4.529246924382e-03,#4661d6,1,yes,yes
10,8,1,dJ_+1,7,3,4,J 3->4,8,100001,1.754204730134e-01,6.091269026107e-03,#466be3,1,yes,yes
11,21,-1,dJ_-1,4,4,3,J 4->3,8,100001,1.238802412505e-01,4.604397466848e-03,#4776ee,1,yes,yes
12,11,0,dJ_+0,4,4,4,J 4->4,10,100001,1.624889468775e-01,6.190384483693e-03,#467df4,1,yes,yes
13,4,1,dJ_+1,4,4,5,J 4->5,13,100001,2.154676743185e-01,8.029520356160e-03,#4687fb,1,yes,yes
14,32,-1,dJ_-1,8,5,4,J 5->4,13,100001,7.140400524522e-02,4.310077848906e-03,#448ffe,1,yes,yes
15,28,0,dJ_+0,11,5,5,J 5->5,15,100001,9.308381271688e-02,5.616744752407e-03,#4099ff,1,yes,no
16,16,1,dJ_+1,9,5,6,J 5->6,18,100001,1.365253951385e-01,7.142299725492e-03,#3aa3fc,1,yes,no
17,18,-1,dJ_-1,2,6,5,J 6->5,18,100001,1.305562306125e-01,8.552723655686e-03,#35abf8,1,yes,yes
18,12,0,dJ_+0,5,6,6,J 6->6,21,100001,1.618918741385e-01,1.095043410900e-02,#2eb4f2,1,yes,yes
19,2,1,dJ_+1,2,6,7,J 6->7,25,100001,2.214023994401e-01,1.372731591211e-02,#28bceb,1,yes,yes
20,17,-1,dJ_-1,1,7,6,J 7->6,25,100001,1.323282758583e-01,7.562698425307e-03,#22c5e2,1,yes,yes
21,10,0,dJ_+0,3,7,7,J 7->7,28,100001,1.629276517484e-01,9.578242919898e-03,#1ccdd8,1,yes,yes
22,5,1,dJ_+1,5,7,8,J 7->8,32,100001,2.152965600772e-01,1.188670661858e-02,#1ad4d0,1,yes,yes
23,19,-1,dJ_-1,3,8,7,J 8->7,32,100001,1.284094422465e-01,7.732942697238e-03,#18dbc5,1,yes,yes
24,13,0,dJ_+0,6,8,8,J 8->8,36,100001,1.588905019802e-01,9.776405138371e-03,#18e0bd,1,yes,yes
25,3,1,dJ_+1,3,8,9,J 8->9,41,100001,2.169872643834e-01,1.209660529167e-02,#1ce6b4,1,yes,yes
26,23,-1,dJ_-1,5,9,8,J 9->8,41,100001,1.205615267383e-01,8.833067087904e-03,#22ebaa,1,yes,yes
27,22,0,dJ_+0,8,9,9,J 9->9,45,100001,1.220612572093e-01,1.120684269294e-02,#2aefa1,1,yes,yes
28,7,1,dJ_+1,6,9,10,J 9->10,50,100001,1.902472312289e-01,1.393943400865e-02,#35f394,1,yes,yes
