 61 2839.173698 4.942E-25 8.479E+00.04100.052 2778.25390.75-.005678    0 0 1 1 1E     0 0 0 1 1F2   15A2 48        16A1  4     33253333232917 1 1   155.0  165.0
 61 2843.989951 4.145E-25 1.369E+01.02800.052 2723.91110.75-.005688    0 0 1 1 1E     0 0 0 1 1F2   15E  87        16E   5     332333332329 1 1 1    62.0   66.0
 61 2852.755040 4.105E-25 1.257E+00.04300.114 2393.34180.75-.005706    0 0 1 1 1E     0 0 0 1 1F2   13A1 32        14A2  2     332333332329 1 1 1   135.0  145.0
 61 2854.156834 2.615E-24 1.668E+01.04100.115 2558.90210.75-.005708    0 0 1 1 1E     0 0 0 1 1F2   14A2 39        15A1  3     332333332329 1 1 1   145.0  155.0
 61 2854.358647 1.546E-24 1.639E+01.03700.062 2558.27810.75-.005709    0 0 1 1 1E     0 0 0 1 1F2   14F2123        15F1  8     332333332329 1 1 1    87.0   93.0
 61 2859.846921 4.384E-25 7.042E-01.04300.107 2243.79470.75-.005720    0 0 1 1 1E     0 0 0 1 1F2   12A1 31        13A2  3     332333332329 1 1 1   125.0  135.0
 61 2860.076126 2.718E-25 7.270E-01.03900.064 2243.58670.75-.005720    0 0 1 1 1E     0 0 0 1 1F2   12F1 87        13F2  5     332333332329 1 1 1    75.0   81.0
 61 2864.574705 2.798E-25 7.745E-01.03900.064 2249.98320.75-.005729    0 0 1 1 1E     0 0 0 1 1F2   12F1 91        13F2  6     332333332329 1 1 1    75.0   81.0
 61 2864.900216 3.201E-24 1.723E+01.03800.063 2402.63920.75-.005730    0 0 1 1 1E     0 0 0 1 1F2   13F2112        14F1  7     332333332329 1 1 1    81.0   87.0
 61 2871.323933 6.497E-24 1.435E+01.04300.114 2307.70610.75-.005743    0 0 1 1 1E     0 0 0 1 1F2   12A1 40        13A2  4     332333332329 1 1 1   125.0  135.0
 61 2872.130811 4.743E-25 7.300E-01.03900.064 2111.00290.75-.005744    0 0 1 1 1E     0 0 0 1 1F2   11F1 82        12F2  5     332333332329 1 1 1    69.0   75.0
 61 2872.450656 5.062E-25 7.781E-01.03900.064 2110.68580.75-.005745    0 0 1 1 1E     0 0 0 1 1F2   11F2 81        12F1  4     332333332329 1 1 1    69.0   75.0
 61 2873.807478 4.863E-25 4.666E-01.04300.107 2118.65330.75-.005748    0 0 1 1 1E     0 0 0 1 1F2   11A2 29        12A1  2     332333332329 1 1 1   115.0  125.0
 61 2875.569641 6.098E-24 1.760E+01.03900.064 2256.98140.75-.005751    0 0 1 1 1E     0 0 0 1 1F2   12F1104        13F2  7     332333332329 1 1 1    75.0   81.0
 61 2875.894184 4.584E-25 7.272E-01.03900.064 2116.67290.75-.005752    0 0 1 1 1E     0 0 0 1 1F2   11F2 83        12F1  5     332333332329 1 1 1    69.0   75.0
 61 2876.266843 3.193E-25 7.582E-01.02900.052 2116.19730.75-.005753    0 0 1 1 1E     0 0 0 1 1F2   11E  56        12E   4     332333332329 1 1 1    46.0   50.0
 61 2884.236388 5.142E-25 7.223E-01.02900.051 1988.32370.75-.005768    0 0 1 1 1E     0 0 0 1 1F2   10E  50        11E   3     332333332329 1 1 1    42.0   46.0
 61 2884.483785 8.171E-25 7.644E-01.03900.063 1988.08260.75-.005769    0 0 1 1 1E     0 0 0 1 1F2   10F2 75        11F1  5     332333332329 1 1 1    63.0   69.0
 61 2884.910534 1.538E-24 8.618E-01.04500.106 1987.68160.75-.005770    0 0 1 1 1E     0 0 0 1 1F2   10A2 24        11A1  2     332333332329 1 1 1   105.0  115.0
 61 2886.119798 1.825E-23 1.793E+01.04300.107 2121.77560.75-.005772    0 0 1 1 1E     0 0 0 1 1F2   11A1 31        12A2  2     332333332329 1 1 1   115.0  125.0
 61 2886.351480 1.080E-23 1.764E+01.03900.064 2121.16160.75-.005773    0 0 1 1 1E     0 0 0 1 1F2   11F1 97        12F2  6     332333332329 1 1 1    69.0   75.0
 61 2886.451514 3.232E-25 3.121E-01.03900.063 1994.36120.75-.005773    0 0 1 1 1E     0 0 0 1 1F2   10F2 78        11F1  6     332333332329 1 1 1    63.0   69.0
 61 2888.651683 9.964E-25 9.547E-01.03900.063 1992.41030.75-.005777    0 0 1 1 1E     0 0 0 1 1F2   10F1 77        11F2  4     332333332329 1 1 1    63.0   69.0
 61 2896.252264 2.296E-25 1.020E+00.04300.114 2478.33300.75-.005793    0 0 1 1 1E     0 0 0 1 1F2   14A2 32        15A1  1     332333332329 1 1 1   145.0  155.0
 61 2896.355858 1.120E-24 6.760E-01.03900.062 1875.64610.75-.005793    0 0 1 1 1E     0 0 0 1 1F2    9F1 69        10F2  4     332333332329 1 1 1    57.0   63.0
 61 2896.944337 1.407E-24 8.472E-01.03900.062 1875.07930.75-.005794    0 0 1 1 1E     0 0 0 1 1F2    9F2 66        10F1  4     332333332329 1 1 1    57.0   63.0
 61 2896.946923 1.710E-23 1.679E+01.03900.063 1996.30410.75-.005794    0 0 1 1 1E     0 0 0 1 1F2   10F1 87        11F2  5     332333332329 1 1 1    63.0   69.0
 61 2899.130975 6.537E-25 4.035E-01.03900.063 1879.88930.75-.005798    0 0 1 1 1E     0 0 0 1 1F2    9F1 71        10F2  5     332333332329 1 1 1    57.0   63.0
 61 2901.233564 4.783E-24 1.762E+00.04500.106 1878.42360.75-.005802    0 0 1 1 1E     0 0 0 1 1F2    9A1 23        10A2  2     332333332329 1 1 1    95.0  105.0
 61 2902.289039 2.611E-23 1.218E+01.04500.106 1926.88280.75-.005805    0 0 1 1 1E     0 0 0 1 1F2    9A2 31        10A1  3     332333332329 1 1 1    95.0  105.0
 61 2903.374168 4.185E-25 2.538E-01.03900.062 1875.64610.75-.005807    0 0 1 1 1E     0 0 0 1 1F2    9F1 71        10F2  4     332333332329 1 1 1    57.0   63.0
 61 2906.144634 2.682E-25 1.034E+00.03800.063 2327.99730.75-.005812    0 0 1 1 1E     0 0 0 1 1F2   13F1 96        14F2  4     332333332329 1 1 1    81.0   87.0
 61 2906.151263 2.674E-25 1.031E+00.03800.063 2327.98970.75-.005812    0 0 1 1 1E     0 0 0 1 1F2   13F2 93        14F1  3     332333332329 1 1 1    81.0   87.0
 61 2907.409335 2.148E-23 1.344E+01.03900.063 1881.54800.75-.005815    0 0 1 1 1E     0 0 0 1 1F2    9F2 77        10F1  5     332333332329 1 1 1    57.0   63.0
 61 2907.592560 1.989E-24 4.945E-01.04500.100 1773.78140.75-.005815    0 0 1 1 1E     0 0 0 1 1F2    8A1 21         9A2  2     332333332329 1 1 1    85.0   95.0
 61 2908.801599 1.754E-24 7.233E-01.03900.062 1772.63010.75-.005818    0 0 1 1 1E     0 0 0 1 1F2    8F1 59         9F2  4     332333332329 1 1 1    51.0   57.0
 61 2909.149008 1.423E-24 8.789E-01.02900.050 1772.29060.75-.005818    0 0 1 1 1E     0 0 0 1 1F2    8E  41         9E   3     332333332329 1 1 1    34.0   38.0
 61 2912.739670 3.691E-23 1.132E+01.04500.100 1816.21800.75-.005825    0 0 1 1 1E     0 0 0 1 1F2    8A1 26         9A2  3     332333332329 1 1 1    85.0   95.0
 61 2913.102814 3.193E-23 1.651E+01.03900.062 1818.52190.75-.005826    0 0 1 1 1E     0 0 0 1 1F2    8F2 79         9F1  6     332333332329 1 1 1    51.0   57.0
 61 2913.158463 2.069E-23 1.066E+01.03900.062 1817.84310.75-.005826    0 0 1 1 1E     0 0 0 1 1F2    8F1 77         9F2  7     332333332329 1 1 1    51.0   57.0
 61 2915.791140 8.370E-25 1.065E+00.04300.107 2187.85030.75-.005832    0 0 1 1 1E     0 0 0 1 1F2   12A1 31        13A2  2     332333332329 1 1 1   125.0  135.0
 61 2915.798405 3.312E-25 1.053E+00.02900.052 2187.82960.75-.005832    0 0 1 1 1E     0 0 0 1 1F2   12E  59        13E   2     332333332329 1 1 1    50.0   54.0
 61 2915.826017 4.982E-25 1.056E+00.03900.064 2187.83670.75-.005832    0 0 1 1 1E     0 0 0 1 1F2   12F1 87        13F2  3     332333332329 1 1 1    75.0   81.0
 61 2917.029839 3.400E-25 1.724E-01.03900.062 1813.97170.75-.005834    0 0 1 1 1E     0 0 0 1 1F2    8F1 77         9F2  6     332333332329 1 1 1    51.0   57.0
 61 2917.721439 7.374E-23 1.878E+01.04500.100 1777.30300.75-.005835    0 0 1 1 1E     0 0 0 1 1F2    8A2 21         9A1  1     332333332329 1 1 1    85.0   95.0
 61 2919.982362 1.558E-24 4.695E-01.04400.069 1680.75980.75-.005840    0 0 1 1 1E     0 0 0 1 1F2    7F1 54         8F2  4     332333332329 1 1 1    45.0   51.0
 61 2921.301115 2.782E-24 8.342E-01.04400.069 1679.56300.75-.005843    0 0 1 1 1E     0 0 0 1 1F2    7F2 53         8F1  3     332333332329 1 1 1    45.0   51.0
